# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Wed May 13 18:36:51 2009],
0,,1,0:00.000.024,,,,,,<Reset> / <Target disconnected>,,,
0,,2,0:02.215.101,,,,,,<Unreset> / <Target connected>,,,
0,,3,0:02.578.613,,,,,,<Reset> / <Target disconnected>,,,
0,,4,0:02.589.486,,,,,,<Unreset> / <Target connected>,,,
0,,5,0:02.615.568,483.062 us,18 B,,00,00,Get Device Descriptor,12 01 00 02 00 00 00 08 61 04 15 4D 00 02 00 02 00 01,Index=0 Length=64,........a..M......
1,,6,0:02.615.568,106.312 us,8 B,,00,00,   SETUP txn,80 06 00 01 00 00 40 00,,......@.
2,,7,0:02.615.568,22.645 us,3 B,,00,00,      SETUP packet,2D 00 10,,-..
2,,8,0:02.615.593,65.312 us,11 B,,00,00,      DATA0 packet,C3 80 06 00 01 00 00 40 00 DD 94,,.......@...
2,,9,0:02.615.662,11.895 us,1 B,,00,00,      ACK packet,D2,,.
1,,10,0:02.615.681,106.833 us,8 B,,00,00,   IN txn,12 01 00 02 00 00 00 08,,........
2,,11,0:02.615.681,22.666 us,3 B,,00,00,      IN packet,69 00 10,,i..
2,,12,0:02.615.707,65.041 us,11 B,,00,00,      DATA1 packet,4B 12 01 00 02 00 00 00 08 57 E7,,K........W.
2,,13,0:02.615.776,11.979 us,1 B,,00,00,      ACK packet,D2,,.
1,,14,0:02.615.793,107.166 us,8 B,,00,00,   IN txn,61 04 15 4D 00 02 00 02,,a..M....
2,,15,0:02.615.793,22.645 us,3 B,,00,00,      IN packet,69 00 10,,i..
2,,16,0:02.615.819,65.041 us,11 B,,00,00,      DATA0 packet,C3 61 04 15 4D 00 02 00 02 33 1A,,.a..M....3.
2,,17,0:02.615.888,12.000 us,1 B,,00,00,      ACK packet,D2,,.
1,,18,0:02.615.905,75.895 us,2 B,,00,00,   IN txn,00 01,,..
2,,19,0:02.615.905,22.645 us,3 B,,00,00,      IN packet,69 00 10,,i..
2,,20,0:02.615.931,33.812 us,5 B,,00,00,      DATA1 packet,4B 00 01 3F 8F,,K..?.
2,,21,0:02.615.969,11.979 us,1 B,,00,00,      ACK packet,D2,,.
1,,22,0:02.615.987,64.020 us,0 B,,00,00,   OUT txn,,,
2,,23,0:02.615.987,22.645 us,3 B,,00,00,      OUT packet,E1 00 10,,...
2,,24,0:02.616.012,22.645 us,3 B,,00,00,      DATA1 packet,4B 00 00,,K..
2,,25,0:02.616.039,11.916 us,1 B,,00,00,      ACK packet,D2,,.
0,,26,0:02.616.592,,,,,,<Reset> / <Target disconnected>,,,
0,,27,0:02.627.490,,,,,,<Unreset> / <Target connected>,,,
0,,28,0:02.653.520,177.833 us,0 B,,00,00,Set Address,,Address=01,
1,,29,0:02.653.520,106.708 us,8 B,,00,00,   SETUP txn,00 05 01 00 00 00 00 00,,........
2,,30,0:02.653.520,22.666 us,3 B,,00,00,      SETUP packet,2D 00 10,,-..
2,,31,0:02.653.545,65.312 us,11 B,,00,00,      DATA0 packet,C3 00 05 01 00 00 00 00 00 EB 25,,..........%
2,,32,0:02.653.615,11.895 us,1 B,,00,00,      ACK packet,D2,,.
1,,33,0:02.653.634,64.312 us,0 B,,00,00,   IN txn,,,
2,,34,0:02.653.634,22.645 us,3 B,,00,00,      IN packet,69 00 10,,i..
2,,35,0:02.653.660,22.520 us,3 B,,00,00,      DATA1 packet,4B 00 00,,K..
2,,36,0:02.653.686,11.979 us,1 B,,00,00,      ACK packet,D2,,.
0,,37,0:03.192.583,483.166 us,18 B,,01,00,Get Device Descriptor,12 01 00 02 00 00 00 08 61 04 15 4D 00 02 00 02 00 01,Index=0 Length=18,........a..M......
1,,38,0:03.192.583,106.416 us,8 B,,01,00,   SETUP txn,80 06 00 01 00 00 12 00,,........
2,,39,0:03.192.583,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,40,0:03.192.608,65.312 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 01 00 00 12 00 E0 F4,,...........
2,,41,0:03.192.678,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,42,0:03.192.696,106.916 us,8 B,,01,00,   IN txn,12 01 00 02 00 00 00 08,,........
2,,43,0:03.192.696,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,44,0:03.192.722,65.062 us,11 B,,01,00,      DATA1 packet,4B 12 01 00 02 00 00 00 08 57 E7,,K........W.
2,,45,0:03.192.791,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,46,0:03.192.808,107.145 us,8 B,,01,00,   IN txn,61 04 15 4D 00 02 00 02,,a..M....
2,,47,0:03.192.808,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,48,0:03.192.834,65.062 us,11 B,,01,00,      DATA0 packet,C3 61 04 15 4D 00 02 00 02 33 1A,,.a..M....3.
2,,49,0:03.192.903,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,50,0:03.192.921,76.000 us,2 B,,01,00,   IN txn,00 01,,..
2,,51,0:03.192.921,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,52,0:03.192.947,33.833 us,5 B,,01,00,      DATA1 packet,4B 00 01 3F 8F,,K..?.
2,,53,0:03.192.985,12.000 us,1 B,,01,00,      ACK packet,D2,,.
1,,54,0:03.193.002,63.958 us,0 B,,01,00,   OUT txn,,,
2,,55,0:03.193.002,22.645 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,56,0:03.193.027,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,57,0:03.193.054,11.895 us,1 B,,01,00,      ACK packet,D2,,.
0,,58,0:03.193.656,708.166 us,34 B,,01,00,Get Configuration Descriptor,09 02 22 00 01 01 00 A0 32 09 04 00 00 01 03 01 02 00 09 21 11 01 00 01 22 34 00 07 05 81 03 04 00 0A,Index=0 Length=255,..".....2..........!...."4........
1,,59,0:03.193.656,106.833 us,8 B,,01,00,   SETUP txn,80 06 00 02 00 00 FF 00,,........
2,,60,0:03.193.656,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,61,0:03.193.681,65.979 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 02 00 00 FF 00 E9 A4,,...........
2,,62,0:03.193.751,11.895 us,1 B,,01,00,      ACK packet,D2,,.
1,,63,0:03.193.769,106.916 us,8 B,,01,00,   IN txn,09 02 22 00 01 01 00 A0,,..".....
2,,64,0:03.193.769,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,65,0:03.193.795,65.062 us,11 B,,01,00,      DATA1 packet,4B 09 02 22 00 01 01 00 A0 0A 98,,K..".......
2,,66,0:03.193.864,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,67,0:03.193.881,107.062 us,8 B,,01,00,   IN txn,32 09 04 00 00 01 03 01,,2.......
2,,68,0:03.193.881,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,69,0:03.193.908,65.041 us,11 B,,01,00,      DATA0 packet,C3 32 09 04 00 00 01 03 01 35 4D,,.2.......5M
2,,70,0:03.193.977,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,71,0:03.193.994,107.083 us,8 B,,01,00,   IN txn,02 00 09 21 11 01 00 01,,...!....
2,,72,0:03.193.994,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,73,0:03.194.020,65.041 us,11 B,,01,00,      DATA1 packet,4B 02 00 09 21 11 01 00 01 17 8F,,K...!......
2,,74,0:03.194.089,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,75,0:03.194.106,107.145 us,8 B,,01,00,   IN txn,22 34 00 07 05 81 03 04,,"4......
2,,76,0:03.194.106,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,77,0:03.194.132,65.041 us,11 B,,01,00,      DATA0 packet,C3 22 34 00 07 05 81 03 04 AD E1,,."4........
2,,78,0:03.194.201,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,79,0:03.194.218,76.000 us,2 B,,01,00,   IN txn,00 0A,,..
2,,80,0:03.194.218,22.645 us,3 B,,01,00,      IN packet,69 01 E8,,i..
2,,81,0:03.194.244,33.833 us,5 B,,01,00,      DATA1 packet,4B 00 0A 7E 48,,K..~H
2,,82,0:03.194.282,11.979 us,1 B,,01,00,      ACK packet,D2,,.
1,,83,0:03.194.300,63.854 us,0 B,,01,00,   OUT txn,,,
2,,84,0:03.194.300,22.645 us,3 B,,01,00,      OUT packet,E1 01 E8,,...
2,,85,0:03.194.325,22.645 us,3 B,,01,00,      DATA1 packet,4B 00 00,,K..
2,,86,0:03.194.352,11.916 us,1 B,,01,00,      ACK packet,D2,,.
0,,87,0:03.194.773,269.458 us,4 B,,01,00,Get String Descriptor,04 03 09 04,Index=0 Length=255,....
1,,88,0:03.194.773,107.333 us,8 B,,01,00,   SETUP txn,80 06 00 03 00 00 FF 00,,........
2,,89,0:03.194.773,22.645 us,3 B,,01,00,      SETUP packet,2D 01 E8,,-..
2,,90,0:03.194.798,65.979 us,11 B,,01,00,      DATA0 packet,C3 80 06 00 03 00 00 FF 00 D4 64,,..........d
